id,text_len,summary_len
train_208,1005,201
train_209,800,124
train_210,2332,336
train_211,1035,166
train_212,225,60
train_213,373,102
train_214,1599,260
train_215,466,115
train_216,534,109
train_217,763,143
train_218,493,142
train_219,837,192
train_220,632,176
train_221,395,86
train_222,632,157
train_223,477,117
train_224,771,159
train_225,590,131
train_226,412,110
train_227,625,144
train_228,551,96
train_229,1554,256
train_230,240,83
train_231,1024,195
train_232,662,169
train_233,883,125
train_234,522,110
train_235,546,123
train_236,1251,259
train_237,1112,217
train_238,386,59
train_239,676,98
train_240,664,148
train_241,582,120
train_242,969,191
train_243,1883,295
train_244,779,168
train_245,1481,173
train_246,2140,260
train_247,256,86
train_248,915,193
train_249,858,182
train_250,2078,371
train_251,461,115
train_252,848,202
train_253,705,125
train_254,529,84
train_255,400,58
train_256,554,124
train_257,653,149
train_258,2636,492
train_259,2370,427
train_260,1279,257
train_261,1513,278
train_262,548,124
train_263,334,55
train_264,712,165
train_265,467,94
train_266,752,107
train_267,1138,257
train_268,567,118
train_269,264,52
train_270,1108,269
train_271,415,74
train_272,228,66
train_273,712,159
train_274,730,88
train_275,685,132
train_276,1324,244
train_277,329,113
train_278,1748,391
train_279,772,119
train_280,683,121
train_281,461,108
train_282,391,79
train_283,292,60
train_284,691,164
train_285,1014,194
train_286,1423,234
train_287,1000,290
train_288,682,152
train_289,622,107
train_290,665,166
train_291,905,165
train_292,295,61
train_293,784,149
train_294,593,129
train_295,688,111
train_296,559,110
train_297,976,129
train_298,1076,171
train_299,305,45
train_300,567,70
train_301,736,127
train_302,699,155
train_303,1408,160
train_304,571,133
train_305,1035,206
train_306,350,78
train_307,1216,178
train_308,620,133
train_309,555,142
train_310,884,110
train_311,597,154
train_312,778,80
train_313,921,262
train_314,235,129
train_315,514,125
train_316,455,101
train_317,539,114
train_318,1074,185
train_319,482,123
train_320,867,221
train_321,916,104
train_322,691,150
train_323,1012,159
train_324,812,151
train_325,279,102
train_326,519,97
train_327,899,163
train_328,615,95
train_329,439,117
train_330,385,67
train_331,1085,109
train_332,575,129
train_333,870,141
train_334,695,102
train_335,760,162
train_336,874,106
train_337,918,184
train_338,503,129
train_339,736,115
train_340,417,112
train_341,644,130
train_342,552,123
train_343,758,171
train_344,564,100
train_345,1349,258
train_346,734,106
train_347,958,203
train_348,1342,269
train_349,2072,376
train_350,516,101
train_351,698,138
train_352,1095,208
train_353,690,138
train_354,243,65
train_355,433,85
train_356,340,77
train_357,1422,263
train_358,475,86
train_359,518,132
train_360,840,178
train_361,771,155
train_362,731,144
train_363,800,161
train_364,513,113
train_365,555,108
train_366,310,56
train_367,242,52
train_368,243,59
train_369,582,144
train_370,728,144
train_371,569,107
train_372,437,83
train_373,310,49
train_374,478,96
train_375,1134,221
train_376,246,50
train_377,474,92
train_378,1174,239
train_379,1673,352
train_380,308,81
train_381,373,75
train_382,522,102
train_383,600,105
train_384,710,114
train_385,504,97
train_386,616,126
train_387,553,89
train_388,936,160
train_389,876,207
train_390,978,235
train_391,505,78
train_392,670,165
train_393,946,124
train_394,496,90
train_395,376,75
train_396,351,57
train_397,971,226
train_398,507,102
train_399,684,110
train_400,719,169
train_401,289,61
train_402,557,101
train_403,233,44
train_404,728,156
train_405,1203,163
train_406,545,138
train_407,924,189
train_408,751,115
train_409,254,68
train_410,1452,231
train_411,462,103
train_412,310,80
train_413,587,84
train_414,571,69
train_415,676,152
train_416,767,189
train_417,1029,147
train_418,1289,204
train_419,795,151
train_420,727,131
train_421,629,132
train_422,622,113
train_423,881,155
train_424,629,83
train_425,1549,274
train_426,200,68
train_427,1485,175
train_428,1623,281
train_429,685,91
train_430,259,70
train_431,288,69
train_432,917,165
train_433,945,211
train_434,431,83
train_435,1548,312
train_436,938,154
train_437,650,128
train_438,1056,176
train_439,875,207
train_440,761,111
train_441,509,88
train_442,540,117
train_443,933,156
train_444,1351,231
train_445,228,51
train_446,888,165
train_447,559,120
train_448,1370,234
train_449,1110,247
train_450,472,90
train_451,879,164
train_452,645,130
train_453,552,116
train_454,242,47
train_455,486,82
train_456,644,112
train_457,229,50
train_458,625,124
train_459,410,75
train_460,1791,326
train_461,587,145
train_462,690,152
train_463,660,113
train_464,477,109
train_465,559,84
train_466,322,66
train_467,362,77
train_468,1363,271
train_469,501,106
train_470,1046,202
train_471,371,77
train_472,236,51
train_473,224,57
train_474,757,148
train_475,1076,224
train_476,788,159
train_477,2258,456
train_478,1205,204
train_479,1046,204
train_480,718,114
train_481,875,161
train_482,534,105
train_483,497,108
train_484,1117,258
train_485,718,139
train_486,673,155
train_487,983,211
train_488,761,167
train_489,708,171
train_490,1041,226
train_491,1139,210
train_492,733,124
train_493,373,98
train_494,350,84
train_495,649,92
train_496,690,111
train_497,1141,230
train_498,376,66
train_499,451,82
train_500,655,115
train_501,517,81
train_502,1321,213
train_503,352,78
train_504,923,66
train_505,796,135
train_506,293,71
train_507,478,88
train_508,328,31
train_509,493,109
train_510,1056,201
train_511,554,97
train_512,828,145
train_513,717,136
train_514,283,78
train_515,279,51
train_516,454,112
train_517,861,181
train_518,738,168
train_519,315,90
train_520,238,37
train_521,689,166
train_522,1430,222
train_523,980,119
train_524,1137,257
train_525,801,156
train_526,272,77
train_527,496,116
train_528,604,103
train_529,563,111
train_530,251,57
train_531,1017,145
train_532,422,76
train_533,781,152
train_534,942,152
train_535,554,98
train_536,614,106
train_537,677,108
train_538,1148,190
train_539,459,75
train_540,653,103
train_541,1423,283
train_542,484,98
train_543,846,183
train_544,924,148
train_545,484,73
train_546,831,139
train_547,1131,205
train_548,562,114
train_549,2529,429
train_550,1189,164
train_551,533,124
train_552,300,56
train_553,2460,371
train_554,741,144
train_555,1584,290
train_556,261,62
train_557,235,47
train_558,553,115
train_559,270,61
train_560,248,57
train_561,766,138
train_562,448,56
train_563,547,90
train_564,646,97
train_565,1621,305
train_566,267,58
train_567,865,164
train_568,351,73
train_569,645,160
train_570,1328,219
train_571,434,66
train_572,323,69
train_573,1669,254
train_574,1192,236
train_575,703,129
train_576,769,172
train_577,761,132
train_578,405,62
train_579,622,116
train_580,961,115
train_581,676,118
train_582,765,130
train_583,523,87
train_584,438,95
train_585,1056,210
train_586,464,114
train_587,688,119
train_588,1017,111
train_589,760,184
train_590,809,199
train_591,439,109
train_592,742,143
train_593,495,157
train_594,898,177
train_595,252,55
train_596,842,153
train_597,737,144
train_598,567,85
train_599,855,134
train_600,490,106
train_601,273,102
train_602,535,120
train_603,697,149
train_604,1135,221
train_605,613,97
train_606,588,169
train_607,522,99
train_608,1132,171
train_609,306,70
train_610,650,129
train_611,537,110
train_612,1474,241
train_613,620,112
train_614,232,54
train_615,1255,169
train_616,496,109
train_617,654,114
train_618,450,152
train_619,1120,128
train_620,238,70
train_621,720,100
train_622,1102,102
train_623,452,98
train_624,553,98
train_625,494,125
train_626,979,131
train_627,1024,197
train_628,717,158
train_629,516,116
train_630,682,177
train_631,610,145
train_632,1075,190
train_633,594,127
train_634,833,186
train_635,615,117
train_636,384,78
train_637,493,82
train_638,1046,239
train_639,334,58
train_640,565,104
train_641,380,75
train_642,811,159
train_643,978,174
train_644,690,147
train_645,1104,101
train_646,630,113
train_647,572,134
train_648,264,60
train_649,479,61
train_650,428,100
train_651,951,86
train_652,780,144
train_653,499,89
train_654,233,71
train_655,720,125
train_656,273,81
train_657,1333,219
train_658,1262,232
train_659,786,111
train_660,579,111
train_661,926,132
train_662,441,96
train_663,1557,243
train_664,1267,189
train_665,481,121
train_666,491,70
train_667,541,81
train_668,762,74
train_669,386,67
train_670,571,117
train_671,761,127
train_672,713,153
train_673,1070,139
train_674,548,114
train_675,747,110
train_676,780,158
train_677,643,94
train_678,1105,178
train_679,610,113
train_680,607,98
train_681,668,97
train_682,1081,193
train_683,323,80
train_684,1047,127
train_685,1007,186
train_686,679,182
train_687,1110,129
train_688,474,123
train_689,764,173
train_690,1525,186
train_691,270,74
train_692,738,175
train_693,881,188
train_694,647,168
train_695,1084,233
train_696,1020,98
train_697,530,146
train_698,387,106
train_699,840,171
train_700,322,88
train_701,485,126
train_702,690,184
train_703,925,154
train_704,562,123
train_705,478,174
train_706,346,105
train_707,637,119
train_708,1196,177
train_709,525,114
train_710,215,78
train_711,1271,130
train_712,1378,274
train_713,756,192
train_714,1100,190
train_715,598,98
train_716,1439,256
train_717,358,87
train_718,612,98
train_719,559,160
train_720,782,112
train_721,561,138
train_722,553,87
train_723,791,147
train_724,688,155
train_725,999,173
train_726,272,58
train_727,482,88
train_728,509,94
train_729,480,105
train_730,390,92
train_731,408,96
train_732,875,166
train_733,900,147
train_734,929,168
train_735,868,188
train_736,963,199
train_737,964,170
train_738,242,64
train_739,470,80
train_740,505,94
train_741,726,112
train_742,508,95
train_743,545,100
train_744,426,82
train_745,307,78
train_746,1598,262
train_747,565,114
train_748,884,153
train_749,477,92
train_750,784,146
train_751,497,95
train_752,564,111
train_753,392,61
train_754,1316,243
train_755,874,149
train_756,288,44
train_757,764,143
train_758,1434,269
train_759,1126,170
train_760,2040,332
train_761,1235,200
train_762,785,132
train_763,1353,312
train_764,335,87
train_765,1376,279
train_766,491,74
train_767,1351,117
train_768,701,141
train_769,723,116
train_770,1218,174
train_771,614,110
train_772,855,155
train_773,1191,200
train_774,1020,196
train_775,768,156
train_776,722,141
train_777,249,48
train_778,625,86
train_779,937,149
train_780,815,204
train_781,315,65
train_782,1116,213
train_783,409,84
train_784,482,88
train_785,908,195
train_786,758,159
train_787,562,119
train_788,1159,194
train_789,675,111
train_790,1374,237
train_791,258,49
train_792,823,155
train_793,531,118
train_794,654,106
train_795,404,93
train_796,507,75
train_797,1737,268
train_798,1215,234
train_799,512,96
train_800,794,153
train_801,212,48
train_802,854,135
train_803,745,85
train_804,278,77
train_805,816,131
train_806,3409,589
train_807,1563,335
train_808,1253,205
train_809,624,130
train_810,396,98
train_811,1404,206
train_812,984,143
train_813,711,152
train_814,711,130
train_815,1312,265
train_816,1359,198
train_817,416,84
train_818,817,157
train_819,758,135
train_820,544,137
train_821,784,127
train_822,620,119
train_823,558,119
train_824,549,171
train_825,534,83
train_826,825,133
train_827,612,135
train_828,307,76
train_829,633,110
train_830,710,90
train_831,790,91
train_832,579,142
train_833,225,116
train_834,823,168
train_835,719,140
train_836,996,161
train_837,644,102
train_838,290,71
train_839,939,163
train_840,588,132
train_841,1076,213
train_842,732,153
train_843,1223,228
train_844,421,101
train_845,529,67
train_846,1093,124
train_847,433,117
train_848,487,46
train_849,924,117
train_850,445,67
train_851,857,141
train_852,510,129
train_853,880,143
train_854,253,59
train_855,778,116
train_856,763,137
train_857,945,177
train_858,229,120
train_859,770,160
train_860,233,93
train_861,1180,133
train_862,277,61
train_863,788,125
train_864,348,93
train_865,884,211
train_866,641,97
train_867,696,149
train_868,849,81
train_869,492,164
train_870,539,133
train_871,1029,198
train_872,1040,242
train_873,920,212
train_874,730,112
train_875,289,57
train_876,551,147
train_877,607,151
train_878,759,154
train_879,1282,226
train_880,254,55
train_881,1175,233
train_882,531,82
train_883,533,131
train_884,805,160
train_885,474,94
train_886,411,86
train_887,940,191
train_888,1063,169
train_889,822,155
train_890,1170,212
train_891,575,129
train_892,376,64
train_893,948,182
train_894,674,145
train_895,416,72
train_896,465,102
train_897,294,89
train_898,434,89
train_899,703,123
train_900,1525,294
train_901,1629,244
train_902,939,191
train_903,581,131
train_904,884,157
train_905,540,91
train_906,368,100
train_907,603,92
train_908,301,86
train_909,547,170
train_910,664,142
train_911,1307,257
train_912,560,123
train_913,489,75
train_914,1107,188
train_915,614,180
train_916,1149,214
train_917,696,130
train_918,1323,267
train_919,681,116
train_920,1180,167
train_921,613,133
train_922,1077,177
train_923,556,99
train_924,426,73
train_925,629,163
train_926,383,95
train_927,692,149
train_928,603,90
train_929,981,148
train_930,286,52
train_931,502,111
train_932,984,150
train_933,528,119
train_934,632,124
train_935,281,75
train_936,750,205
train_937,973,254
train_938,692,114
train_939,645,143
train_940,1174,139
train_941,1651,214
train_942,681,184
train_943,1261,218
train_944,939,198
train_945,1099,182
train_946,684,112
train_947,495,96
train_948,586,135
train_949,945,134
train_950,1648,230
train_951,848,156
train_952,1865,241
train_953,516,111
train_954,338,69
train_955,604,121
train_956,2330,298
train_957,1157,148
train_958,509,74
train_959,628,136
train_960,1321,234
train_961,936,180
train_962,687,103
train_963,454,108
train_964,1078,172
train_965,499,106
train_966,878,172
train_967,539,131
train_968,405,76
train_969,438,101
train_970,968,129
train_971,235,93
train_972,690,153
train_973,2006,379
train_974,443,67
train_975,261,86
train_976,520,135
train_977,300,114
train_978,253,75
train_979,1241,230
train_980,701,140
train_981,931,186
train_982,443,109
train_983,710,152
train_984,498,111
train_985,579,108
train_986,1308,262
train_987,788,178
train_988,1083,141
train_989,1056,212
train_990,274,74
train_991,528,141
train_992,628,103
train_993,310,57
train_994,859,141
train_995,399,136
train_996,217,73
train_997,1504,276
train_998,707,139
train_999,730,158
train_1000,272,58
train_1001,1628,306
train_1002,902,201
train_1003,295,90
train_1004,743,150
train_1005,696,105
train_1006,873,181
train_1007,700,133
train_1008,817,186
train_1009,731,165
train_1010,914,149
train_1011,714,149
train_1012,566,92
train_1013,553,95
train_1014,683,136
train_1015,615,113
train_1016,1039,183
train_1017,887,129
train_1018,914,146
train_1019,714,158
train_1020,279,65
train_1021,656,157
train_1022,694,176
train_1023,558,96
train_1024,798,157
train_1025,260,65
train_1026,1452,305
train_1027,543,71
train_1028,659,157
train_1029,478,98
train_1030,579,95
train_1031,533,153
train_1032,287,65
train_1033,708,123
train_1034,1295,210
train_1035,275,68
train_1036,801,133
train_1037,299,98
train_1038,268,73
train_1039,3571,452
train_1040,912,265
train_1041,204,114
train_1042,230,101
train_1043,1785,210
train_1044,1051,217
train_1045,1081,218
train_1046,1294,220
train_1047,863,97
train_1048,668,161
train_1049,489,107
train_1050,551,81
train_1051,1134,124
train_1052,1041,216
train_1053,543,102
train_1054,1338,296
train_1055,901,222
train_1056,1154,188
train_1057,540,127
train_1058,866,147
train_1059,588,196
train_1060,630,130
train_1061,572,124
train_1062,928,183
train_1063,1092,195
train_1064,441,82
train_1065,647,128
train_1066,634,102
train_1067,547,118
train_1068,709,145
train_1069,787,101
train_1070,645,76
train_1071,1329,115
train_1072,321,69
train_1073,632,137
train_1074,268,65
train_1075,606,153
train_1076,698,112
train_1077,984,159
train_1078,647,140
train_1079,280,78
train_1080,431,80
train_1081,711,141
train_1082,498,80
train_1083,544,82
train_1084,537,118
train_1085,244,48
train_1086,769,208
train_1087,841,166
train_1088,510,58
train_1089,523,91
train_1090,701,156
train_1091,571,194
train_1092,651,129
train_1093,716,192
train_1094,263,206
train_1095,487,86
train_1096,718,155
train_1097,724,227
train_1098,548,101
train_1099,1466,268
train_1100,689,80
train_1101,1190,212
train_1102,270,50
train_1103,828,129
train_1104,899,161
train_1105,540,117
train_1106,705,188
train_1107,683,114
train_1108,943,164
train_1109,751,134
train_1110,785,183
train_1111,1337,255
train_1112,1644,328
train_1113,773,146
train_1114,334,49
train_1115,1213,249
train_1116,643,129
train_1117,853,128
train_1118,659,141
train_1119,546,96
train_1120,553,77
train_1121,506,152
train_1122,533,91
train_1123,867,190
train_1124,548,135
train_1125,462,86
train_1126,2399,311
train_1127,813,124
train_1128,676,150
train_1129,285,62
train_1130,337,66
train_1131,406,92
train_1132,341,72
train_1133,1298,247
train_1134,499,66
train_1135,237,68
train_1136,476,127
train_1137,1402,206
train_1138,658,128
train_1139,562,134
train_1140,782,129
train_1141,1350,162
train_1142,900,151
train_1143,892,153
train_1144,900,199
train_1145,298,49
train_1146,251,74
train_1147,625,79
train_1148,590,101
train_1149,559,110
train_1150,864,141
train_1151,1033,183
train_1152,715,83
train_1153,769,135
train_1154,887,213
train_1155,972,176
train_1156,1015,195
train_1157,1108,266
train_1158,1564,222
train_1159,779,238
train_1160,852,129
train_1161,536,110
train_1162,493,117
train_1163,295,59
train_1164,1197,198
train_1165,686,133
train_1166,1098,212
train_1167,855,126
train_1168,235,97
train_1169,451,79
train_1170,959,177
train_1171,331,71
train_1172,1128,165
train_1173,414,66
train_1174,535,158
train_1175,1519,185
train_1176,314,60
train_1177,586,155
train_1178,539,84
train_1179,463,69
train_1180,948,145
train_1181,1125,197
train_1182,1046,131
train_1183,660,128
train_1184,1512,254
train_1185,1609,245
train_1186,319,61
train_1187,2802,381
train_1188,805,136
train_1189,1233,229
train_1190,1253,233
train_1191,907,133
train_1192,1296,180
train_1193,522,119
train_1194,259,78
train_1195,427,86
train_1196,1083,183
train_1197,924,162
train_1198,493,106
train_1199,823,164
train_1200,857,171
train_1201,1432,222
train_1202,1019,226
train_1203,1076,198
train_1204,453,84
train_1205,509,110
train_1206,505,77
train_1207,979,213
train_1208,538,137
train_1209,283,75
train_1210,536,126
train_1211,1098,204
train_1212,466,119
train_1213,1754,148
train_1214,1299,172
train_1215,1160,281
train_1216,691,108
train_1217,368,63
train_1218,396,79
train_1219,520,63
train_1220,844,179
train_1221,294,54
train_1222,452,87
train_1223,282,47
train_1224,799,77
train_1225,582,120
train_1226,677,107
train_1227,701,99
train_1228,2471,201
train_1229,740,92
train_1230,408,62
train_1231,240,49
train_1232,731,111
train_1233,1484,225
train_1234,229,49
train_1235,759,70
train_1236,2505,297
train_1237,857,201
train_1238,651,94
train_1239,239,38
train_1240,974,121
train_1241,644,68
train_1242,510,117
train_1243,534,97
train_1244,472,105
train_1245,1005,160
train_1246,1014,174
train_1247,711,101
train_1248,953,122
train_1249,606,119
train_1250,490,107
train_1251,474,111
train_1252,637,145
train_1253,523,78
train_1254,557,101
train_1255,370,100
train_1256,823,170
train_1257,691,114
train_1258,468,107
train_1259,613,114
train_1260,621,162
train_1261,573,113
train_1262,1698,298
train_1263,396,67
train_1264,585,131
train_1265,486,107
train_1266,439,96
train_1267,575,111
train_1268,507,163
train_1269,1111,236
train_1270,1072,184
train_1271,1421,226
train_1272,372,87
train_1273,1457,300
train_1274,1273,274
train_1275,987,161
train_1276,785,161
train_1277,219,66
train_1278,254,57
train_1279,788,145
train_1280,940,174
train_1281,1077,202
train_1282,1175,228
train_1283,399,70
train_1284,267,51
train_1285,224,65
train_1286,769,156
train_1287,239,66
train_1288,983,175
train_1289,2261,365
train_1290,1339,255
train_1291,380,77
train_1292,1172,206
train_1293,536,108
train_1294,525,113
train_1295,400,85
train_1296,1249,255
train_1297,1053,199
train_1298,717,187
train_1299,550,133
train_1300,1311,170
train_1301,626,126
train_1302,537,106
train_1303,1074,145
train_1304,596,104
train_1305,342,67
train_1306,238,65
train_1307,531,212
train_1308,381,138
train_1309,913,202
train_1310,276,96
train_1311,486,89
train_1312,1287,207
train_1313,1453,135
train_1314,864,144
train_1315,480,127
train_1316,1248,165
train_1317,251,58
train_1318,327,59
train_1319,1420,150
train_1320,400,66
train_1321,548,73
train_1322,795,179
train_1323,540,74
train_1324,528,96
train_1325,901,208
train_1326,361,83
train_1327,1185,216
train_1328,264,40
train_1329,1264,103
train_1330,758,165
train_1331,988,264
train_1332,836,164
train_1333,546,108
train_1334,1169,164
train_1335,636,175
train_1336,680,95
train_1337,471,107
train_1338,572,132
train_1339,548,89
train_1340,330,141
train_1341,771,123
train_1342,734,115
train_1343,991,125
train_1344,729,105
train_1345,884,203
train_1346,776,106
train_1347,740,178
train_1348,292,63
train_1349,400,198
train_1350,499,88
train_1351,715,166
train_1352,492,88
train_1353,1008,214
train_1354,986,232
train_1355,1044,186
train_1356,707,80
train_1357,592,83
train_1358,1234,260
train_1359,669,121
train_1360,349,88
train_1361,467,123
train_1362,734,148
train_1363,559,93
train_1364,1119,187
train_1365,522,121
train_1366,595,137
train_1367,699,214
train_1368,473,98
train_1369,531,126
train_1370,459,102
train_1371,863,172
train_1372,796,156
train_1373,661,160
train_1374,428,95
train_1375,861,81
train_1376,451,108
train_1377,341,49
train_1378,1455,285
train_1379,2491,416
train_1380,671,137
train_1381,443,80
train_1382,655,210
train_1383,806,187
train_1384,301,93
train_1385,719,151
train_1386,336,87
train_1387,937,183
train_1388,451,131
train_1389,827,219
train_1390,535,97
train_1391,807,137
train_1392,781,159
train_1393,798,122
train_1394,1337,216
train_1395,600,62
train_1396,327,67
train_1397,630,119
train_1398,550,115
train_1399,777,173
train_1400,655,134
train_1401,285,68
train_1402,711,130
train_1403,1122,198
train_1404,273,57
train_1405,1106,119
train_1406,465,85
train_1407,422,64
train_1408,1478,257
train_1409,1090,163
train_1410,229,60
train_1411,1098,203
train_1412,621,133
train_1413,1482,289
train_1414,938,170
train_1415,494,95
train_1416,223,84
train_1417,339,60
train_1418,406,88
train_1419,770,171
train_1420,578,117
train_1421,746,116
train_1422,850,129
train_1423,749,125
train_1424,787,140
train_1425,951,200
train_1426,884,170
train_1427,306,62
train_1428,544,99
train_1429,1396,239
train_1430,565,116
train_1431,647,123
train_1432,1089,188
train_1433,556,116
train_1434,606,112
train_1435,996,173
train_1436,599,121
train_1437,1211,173
train_1438,956,160
train_1439,2154,250
train_1440,1124,163
train_1441,938,107
train_1442,702,105
train_1443,736,163
train_1444,849,107
train_1445,347,108
train_1446,507,102
train_1447,688,150
train_1448,848,172
train_1449,599,116
train_1450,714,102
train_1451,1107,213
train_1452,1234,193
train_1453,765,139
train_1454,692,112
train_1455,785,117
train_1456,1042,182
train_1457,590,93
train_1458,688,176
train_1459,805,148
train_1460,512,115
train_1461,545,106
train_1462,1341,202
train_1463,354,99
train_1464,352,77
train_1465,680,106
train_1466,336,56
train_1467,614,161
train_1468,267,77
train_1469,669,106
train_1470,419,124
train_1471,676,120
train_1472,470,127
train_1473,871,233
train_1474,787,150
train_1475,862,141
train_1476,605,111
train_1477,1760,277
train_1478,1653,342
train_1479,595,87
train_1480,1163,199
train_1481,226,114
train_1482,563,103
train_1483,1473,248
train_1484,758,161
train_1485,1112,142
train_1486,738,139
train_1487,1036,198
train_1488,685,141
train_1489,1032,200
train_1490,543,129
train_1491,905,137
train_1492,1202,232
train_1493,482,105
train_1494,929,162
train_1495,718,129
train_1496,510,111
train_1497,371,76
train_1498,699,153
train_1499,456,82
train_1500,918,168
train_1501,541,83
train_1502,610,112
train_1503,529,87
train_1504,229,54
train_1505,463,74
train_1506,769,131
train_1507,1218,238
train_1508,866,165
train_1509,639,147
train_1510,457,103
train_1511,628,107
train_1512,521,88
train_1513,223,58
train_1514,641,118
train_1515,821,136
train_1516,635,108
train_1517,1310,203
train_1518,934,138
train_1519,463,65
train_1520,344,58
train_1521,1456,152
train_1522,356,90
train_1523,998,151
train_1524,483,108
train_1525,1394,225
train_1526,1170,177
train_1527,1167,190
train_1528,564,81
train_1529,803,133
train_1530,594,87
train_1531,986,183
train_1532,320,81
train_1533,1367,144
train_1534,1308,265
train_1535,651,97
train_1536,547,119
train_1537,537,90
train_1538,545,97
train_1539,1077,232
train_1540,792,167
train_1541,814,163
train_1542,1005,136
train_1543,409,101
train_1544,859,144
train_1545,416,96
train_1546,941,168
train_1547,385,97
train_1548,304,51
train_1549,530,79
train_1550,688,132
train_1551,444,122
train_1552,536,110
train_1553,436,103
train_1554,927,154
train_1555,1038,175
train_1556,385,68
train_1557,637,151
train_1558,473,105
train_1559,825,132
train_1560,683,195
train_1561,591,101
train_1562,880,108
train_1563,1517,278
train_1564,411,125
train_1565,1114,262
train_1566,649,128
train_1567,826,198
train_1568,961,149
train_1569,224,89
train_1570,725,113
train_1571,301,100
train_1572,420,76
train_1573,243,41
train_1574,2088,361
train_1575,904,218
train_1576,1377,196
train_1577,275,55
train_1578,714,93
train_1579,327,122
train_1580,762,104
train_1581,732,137
train_1582,616,168
train_1583,582,108
train_1584,888,129
train_1585,348,104
train_1586,575,96
train_1587,458,89
train_1588,2036,353
train_1589,1088,185
train_1590,289,84
train_1591,751,134
train_1592,588,100
train_1593,537,111
train_1594,623,104
train_1595,341,69
train_1596,594,144
train_1597,845,175
train_1598,1362,286
train_1599,783,153
train_1600,545,105
train_1601,299,55
train_1602,1253,231
train_1603,1155,224
train_1604,821,182
train_1605,662,122
train_1606,268,80
train_1607,1000,218
train_1608,2061,358
train_1609,366,104
train_1610,353,63
train_1611,654,106
train_1612,328,97
train_1613,604,125
train_1614,2002,411
train_1615,332,74
train_1616,830,127
train_1617,679,142
train_1618,311,68
train_1619,1510,281
train_1620,1800,332
train_1621,260,77
train_1622,454,106
train_1623,563,104
train_1624,404,125
train_1625,287,71
train_1626,860,180
train_1627,352,123
